Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000101197,BIRC7,Gene Expression,0.7352426778784111,0.0,0.0,58707,9.947283084059595,2288
ENSG00000196935,SRGAP1,Gene Expression,0.734862788528857,0.0,0.0,55786,9.437610608131033,2327
ENSG00000110080,ST3GAL4,Gene Expression,0.7304825083706956,0.0,0.0,96623,16.291314613628487,2450
ENSG00000096696,DSP,Gene Expression,0.7302082073544102,0.0,0.0,30700,26.58780611134965,1839
ENSG00000112137,PHACTR1,Gene Expression,0.7295821631372423,0.0,0.0,56095,9.929195836410043,2333
ENSG00000185737,NRG3,Gene Expression,0.7286900884522729,0.0,0.0,18952,3.2371422334965025,2060
ENSG00000186081,KRT5,Gene Expression,0.7285759356316476,0.0,0.0,64558,42.407980669699505,2212
ENSG00000164684,ZNF704,Gene Expression,0.727780649272876,0.0,0.0,47759,8.218897184394677,2274
ENSG00000091513,TF,Gene Expression,0.7272104379777461,0.0,0.0,46726,8.29473279186735,2254
ENSG00000100077,GRK3,Gene Expression,0.7255008972824023,0.0,0.0,71313,12.597308211099017,2405
ENSG00000197535,MYO5A,Gene Expression,0.724356161254132,0.0,0.0,82678,13.8409080682386,2521
ENSG00000109452,INPP4B,Gene Expression,0.7240244340639473,0.0,0.0,32420,5.312888663504147,2165
ENSG00000189001,SBSN,Gene Expression,0.7239174267030891,0.0,0.0,13071,11.821943639558016,938
ENSG00000211895,IGHA1,Gene Expression,0.7233163970785231,0.0,0.0,156200,58.599507364733036,2341
ENSG00000211592,IGKC,Gene Expression,0.7225045298657116,0.0,0.0,867000,384.33085700721585,3201
ENSG00000137198,GMPR,Gene Expression,0.7219778414829325,0.0,0.0,35733,6.4723324335860575,2206
ENSG00000134508,CABLES1,Gene Expression,0.7208641281790009,0.0,0.0,38410,6.483707020949297,2233
